Author,Work
Chrysippus,"Fragmenta quae ad explicationem carminum Homericorum pertinent "
"Cicero, Marcus Tullius"," For M. Tullius"
"Cicero, Marcus Tullius"," For Quintus Roscius the Actor"
"Cicero, Marcus Tullius",Academica
"Cicero, Marcus Tullius","Against L. Catiline"
"Cicero, Marcus Tullius","Against Vatinius"
"Cicero, Marcus Tullius","Against Verres"
"Cicero, Marcus Tullius",Brutus
"Cicero, Marcus Tullius","De Divinatione, De senectute; De amicitia; De divinatione"
"Cicero, Marcus Tullius","De Fato"
"Cicero, Marcus Tullius","De Inventione"
"Cicero, Marcus Tullius","De Officiis, De officiis"
"Cicero, Marcus Tullius","De Optimo Genere Oratorum"
"Cicero, Marcus Tullius","De Republica"
"Cicero, Marcus Tullius","De Senectute, De senectute; De amicitia; De divinatione"
"Cicero, Marcus Tullius","De domo sua ad pontifices"
"Cicero, Marcus Tullius","De haruspicum responso in P. Clodium"
"Cicero, Marcus Tullius","De provinciis consularibus"
"Cicero, Marcus Tullius","Divinatio against Q. Caecilius"
"Cicero, Marcus Tullius","For A. Cluentius"
"Cicero, Marcus Tullius","For A.L. Archias"
"Cicero, Marcus Tullius","For Aulus Caecina"
"Cicero, Marcus Tullius","For C. Rabirius"
"Cicero, Marcus Tullius","For L. Flaccus"
"Cicero, Marcus Tullius","For L. Murena"
"Cicero, Marcus Tullius","For M. Fonteius"
"Cicero, Marcus Tullius","For P. Sulla"
"Cicero, Marcus Tullius","For Publius Quinctius"
"Cicero, Marcus Tullius","For Sextus Roscius of Ameria"
"Cicero, Marcus Tullius","In Defense of the Proposed Manilian Law"
"Cicero, Marcus Tullius","In L. Calpurnium Pisonem"
"Cicero, Marcus Tullius","In the Senate after his Return"
"Cicero, Marcus Tullius","Laelius on Friendship"
"Cicero, Marcus Tullius","Letters to Atticus, The letters of Cicero the whole extant correspondence in chronological order"
"Cicero, Marcus Tullius","Letters to Brutus, The letters of Cicero the whole extant correspondence in chronological order"
"Cicero, Marcus Tullius","Letters to his Friends, The letters of Cicero the whole extant correspondence in chronological order"
"Cicero, Marcus Tullius","Letters to his brother Quintus, The letters of Cicero the whole extant correspondence in chronological order"
"Cicero, Marcus Tullius",Lucullus
"Cicero, Marcus Tullius","On Oratory"
"Cicero, Marcus Tullius","On the Agrarian Law"
"Cicero, Marcus Tullius",Orator
"Cicero, Marcus Tullius","Paradoxa Stoicorum"
"Cicero, Marcus Tullius","Partitiones Oratoriae"
"Cicero, Marcus Tullius",Philippics
"Cicero, Marcus Tullius","Pro C. Rabirio Postumo"
"Cicero, Marcus Tullius","Pro Cn. Plancio"
"Cicero, Marcus Tullius","Pro L. Cornelio Balbos"
"Cicero, Marcus Tullius","Pro M. Caelio"
"Cicero, Marcus Tullius","Pro M. Marcello"
"Cicero, Marcus Tullius","Pro M. Scauro"
"Cicero, Marcus Tullius","Pro P. Sestio"
"Cicero, Marcus Tullius","Pro Q. Ligario"
"Cicero, Marcus Tullius","Pro Rege Deiotaro"
"Cicero, Marcus Tullius","Pro T. Annio Milone"
"Cicero, Marcus Tullius","Second Oration After Cicero's Return: Addressed to the People."
"Cicero, Marcus Tullius",Timaeus
"Cicero, Marcus Tullius",Topica
"Cicero, Marcus Tullius","Tusculanae Disputationes"
"Cicero, Marcus Tullius","de Finibus Bonorum et Malorum"
"Cicero, Marcus Tullius","de Natura Deorum"
"Claudius Ptolemaeus","Apotelesmatica (= Tetrabiblos)"
"Claudius Ptolemaeus",Musica
"Claudius Ptolemaeus","Syntaxis mathematica"
"Claudius Ptolemaeus",Tetrabiblos
Cleanthes,"Testimonia et Fragmenta"
"Clemens Romanus (Clement of Rome)","Contestatio [Sp.]"
"Clemens Romanus (Clement of Rome)","Epistula Clementis ad Jacobum [Sp.]"
"Clemens Romanus (Clement of Rome)","Epistula I ad Corinthios"
"Clemens Romanus (Clement of Rome)","Epistula II ad Corinthios"
"Clemens Romanus (Clement of Rome)","Epistula Petri ad Jacobum [Sp.]"
"Clemens Romanus (Clement of Rome)","Epistulae de virginitate [Sp.]"
"Clemens Romanus (Clement of Rome)","Homiliae [Sp.]"
"Clemens Romanus (Clement of Rome)","Pseudo‑Clementina (epitome altera auctore Symeone Metaphrasta) [Sp.]"
"Clemens Romanus (Clement of Rome)","Pseudo‑Clementina (epitome de gestis Petri praemetaphrastica) [Sp.]"
"Clement of Alexandria","Eclogae propheticae"
"Clement of Alexandria","Excerpta ex Theodoto"
"Clement of Alexandria","Exhortation to Endurance or To the Newly Baptized (Fragment 44)"
"Clement of Alexandria",Paedagogus
"Clement of Alexandria",Protrepticus
"Clement of Alexandria","Quis Dis Salvetur"
"Clement of Alexandria","Quis dives salvetur"
"Clement of Alexandria",Stromata
Cleomedes,"De motu circulari corporum caelestium"
Cleonides,"Introductio Harmonica"
"Colluthus of Lycopolis","The Rape of Helen"
"Columella, Lucius Junius Moderatus","Res Rustica"
Comarius,"De lapide philosophorum"
Crantor,Fragmenta
"Cratetis Epistulae",Epistles
Crateuas,Fragmenta
Critias,Fragmenta
"Curtius Rufus, Quintus","Historiarum Alexandri Magni"
Cyranides,Cyranides
"Cyril of Alexandria","In XII Prophetas"
Damigeron,"De lapidibus"
"Daniel (OSHB)",Daniel
"David the Invincible","In Porphyrii Isagogen Commentarium"
"David the Invincible","Prolegomena philosophiae"
Demades,"On the Twelve Years"
"Demetrius of Phaleron","Libro de Elocutione"
Democritus,Fragmenta
Demosthenes,"A Friend Pleading for Phormio"
Demosthenes,"Against Androtion"
Demosthenes,"Against Aphobus I"
Demosthenes,"Against Aphobus II"
Demosthenes,"Against Aphobus III"
Demosthenes,"Against Aristocrates"
Demosthenes,"Against Aristogeiton I"
Demosthenes,"Against Aristogeiton II"
Demosthenes,"Against Leptines"
Demosthenes,"Against Meidias"
Demosthenes,"Against Onetor, An Ejectment Suit I"
Demosthenes,"Against Onetor, An Ejectment Suit II"
Demosthenes,"Against Timocrates"
Demosthenes,"An Unknown Pleader Against Spudias in the Matter of a Marriage Proposal"
Demosthenes,"Androcles Against Lacritus"
Demosthenes,"Answer to Philip’s Letter"
Demosthenes,"Apollodorus Against Callippus"
Demosthenes,"Apollodorus Against Nicostratus in the Matter of Slaves of Aresthusius"
Demosthenes,"Apollodorus Against Polycles for Expenses Incurred while Serving as Trierarch"
Demosthenes,"Apollodorus Against Stephanus, Charged with False Testimony I"
Demosthenes,"Apollodorus Against Stephanus, Charged with False Testimony II"
Demosthenes,"Apollodorus Against Timotheus in the Matter of a Debt"
Demosthenes,"Aristodemus Against Leochares Regarding the Estate of Archiades"
Demosthenes,"Ariston Against Conon, an Action for Assault"
Demosthenes,"Callistratus Against Olympiodorus, an Action for Damages"
Demosthenes,"Dareius Against Dionysodorus in the Matter of a Loan"
Demosthenes,"Epichares Against Theocrines, a Criminal Information"
Demosthenes,"Euxitheus Against Eubulides, an Appeal"
Demosthenes,Exordia
Demosthenes,"First Olynthiac"
Demosthenes,"First Philippic"
Demosthenes,"For the Liberty of the Rhodians"
Demosthenes,"For the People of Megalopolis"
Demosthenes,"Fourth Philippic"
Demosthenes,Letters
Demosthenes,"Mantitheus Against Boeotus I"
Demosthenes,"Mantitheus Against Boeotus II"
Demosthenes,"Nicobulus Against Pantaenetus"
Demosthenes,"On Halonnesus"
Demosthenes,"On Organization"
Demosthenes,"On the Chersonese"
Demosthenes,"On the Crown"
Demosthenes,"On the Embassy"
Demosthenes,"On the Navy-Boards"
Demosthenes,"On the Peace"
Demosthenes,"On the Treaty with Alexander"
Demosthenes,"On the Trierarchic Crown, by an Unknown Pleader"
Demosthenes,"One of the Sons of Aristaechmus Against Nausimachus and Xenopeithes"
Demosthenes,"Philip’s Letter"
Demosthenes,"Plea of Chrysipus and Partner Against Phormio"
Demosthenes,"Plea of Demo Against Zenothemis"
Demosthenes,"Second Olynthiac"
Demosthenes,"Second Philippic"
Demosthenes,"Sositheus Against Macartatus in Regard to the Estate of Hagnias"
Demosthenes,"The Erotic Essay"
Demosthenes,"The Funeral Speech"
Demosthenes,"The Son of Teisias Against Callicles, Regarding Damage to a Piece of Property"
Demosthenes,"Theomnestus and Apollodorus Against Neaera"
Demosthenes,"Third Olynthiac"
Demosthenes,"Third Philippic"
Demosthenes,"Unknown Pleader Against Apaturius"
Demosthenes,"Unknown Pleader Against Evergus and Mnesibulus, About False Testimony"
Demosthenes,"Unknown Pleader Against Phaenippus, On an Exchange of Properties"
"Deuteronomy (OSHB)",Deuteronomy
Dexippus,"In Aristotelis Categorias Commentarium"
Dialexeis,Fragmenta
"Didymus Alexandrinus","Mensurae marmorum ac lignorum"
Dinarchus,"Against Aristogiton"
Dinarchus,"Against Demosthenes"
Dinarchus,"Against Philocles"
"Dio Chrysostom",Orationes
"Diodorus Siculus","Historical Library"
"Diogenes Babylonius","Testimonia et Fragmenta"
"Diogenes Laertius","Lives of Eminent Philosophers"
"Diogenes Sinopensis Epistulae",Epistles
